server_name,tool.name,tool.description
OP.GG MCP Server,lol-champion-leader-board,"Retrieves the leaderboard of master players who play a specific champion well. You can also look up the high ranked players, like the high winrate 5 players in #1-#30, to retrieve their champion performance or recent match history to teach how to play the champions."
OP.GG MCP Server,lol-champion-analysis,"Retrieves very detailed information about a specific champion, such as win rate, pick rate, recommended builds, recommended skill order, recommended items, etc. If a user mentions a specific champion, you *must* always call this function, review the data, and then respond. If the user asks some tips during playing game, you should also occasionally call this function to advice how to play the game well. If the users asks like 'what items should I buy?', 'which skill should I level up?', also you need to call this function to see the high winrate champions. (Counter Picks ban/pick data is available in the `weakCounters` field). You must assume the position user want to know."
OP.GG MCP Server,lol-champion-meta-data,"Retrieves meta data for a specific champion, including statistics and performance metrics."
OP.GG MCP Server,lol-champion-skin-sale,Retrieves information about champion skins that are currently on sale.
OP.GG MCP Server,lol-summoner-search,"Retrieves information about a specific summoner, such as their rank, win rate, and recent match history. If a user mentions a specific summoner or wants to know about themselves, you *must* always call this function. If you can't find the summoner, ask to the user which region do they play."
OP.GG MCP Server,lol-champion-positions-data,"Retrieves the analytics of champions by each positions. You can also look up the winrate, banrate, plays, wins, kills, kda and etc. `tier_data` is champion tier which tells which champion is powerful (OP) or not, for example `tier 1` champion is easy to play and powerful champion. (You can recommend this champion to the user if they want recommandation)"
OP.GG MCP Server,lol-summoner-game-history,"Retrieves the recent match history of a specific summoner. If a user mentions a specific summoner, wants to know about their recent matches, wants to know how to improve or wants to get an advice, you *must* always call this function."
OP.GG MCP Server,lol-summoner-renewal,"Renew the summoner's data of OP.GG through RiotAPI. When you retrieve summoner data, you *must* always call this function first, and then call the next functions."
OP.GG MCP Server,lol-brawl-champion-tier-rank,Retrieves champion tier ranking list in brawl mode.
OP.GG MCP Server,esports-lol-schedules,Get upcoming LoL match schedules.
OP.GG MCP Server,esports-lol-team-standings,Get team standings for a LoL league.
OP.GG MCP Server,tft-meta-trend-deck-list,TFT deck list tool for retrieving current meta decks.
OP.GG MCP Server,tft-meta-item-combinations,TFT tool for retrieving information about item combinations and recipes.
OP.GG MCP Server,tft-champion-item-build,TFT tool for retrieving champion item build information.
OP.GG MCP Server,tft-recommend-champion-for-item,TFT tool for retrieving champion recommendations for a specific item.
OP.GG MCP Server,tft-play-style-comment,This tool provides comments on the playstyle of TFT champions.
OP.GG MCP Server,valorant-meta-maps,Valorant map meta data
OP.GG MCP Server,valorant-meta-characters,Valorant character meta data
OP.GG MCP Server,valorant-leaderboard,Fetch Valorant leaderboard by region
OP.GG MCP Server,valorant-agents-composition-with-map,Retrieve agent composition data for a Valorant map.
OP.GG MCP Server,valorant-characters-statistics,"Retrieve character statistics data for Valorant, optionally filtered by map."
OP.GG MCP Server,valorant-player-match-history,Retrieve match history for a Valorant player using their game name and tag line.
PDF Reader MCP Server,read_pdf,Reads content/metadata from one or more PDFs (local/URL). Each source can specify pages to extract.
HowToCook-MCP Server,mcp_howtocook_getAllRecipes,获取所有菜谱
HowToCook-MCP Server,mcp_howtocook_getRecipesByCategory,"根据分类查询菜谱，可选分类有: 水产, 早餐, 调料, 甜品, 饮品, 荤菜, 半成品加工, 汤, 主食, 素菜"
HowToCook-MCP Server,mcp_howtocook_recommendMeals,根据用户的忌口、过敏原、人数智能推荐菜谱，创建一周的膳食计划以及大致的购物清单
HowToCook-MCP Server,mcp_howtocook_whatToEat,不知道吃什么？根据人数直接推荐适合的菜品组合
HowToCook-MCP Server,mcp_howtocook_getRecipeById,根据菜谱名称或ID查询指定菜谱的完整详情，包括食材、步骤等
BioMCP: Biomedical Model Context Protocol,search,"Search biomedical literature, clinical trials, and genetic variants.

    ⚠️ IMPORTANT: Have you used the 'think' tool first? If not, STOP and use it NOW!
    The 'think' tool is REQUIRED for proper research planning and should be your FIRST step.

    This tool provides access to biomedical data from PubMed/PubTator3, ClinicalTrials.gov,
    and MyVariant.info. It supports two search modes:

    ## 1. UNIFIED QUERY LANGUAGE
    Use the 'query' parameter with field-based syntax for precise cross-domain searches.

    Syntax:
    - Basic: ""gene:BRAF""
    - AND logic: ""gene:BRAF AND disease:melanoma""
    - OR logic: ""gene:PTEN AND (R173 OR Arg173 OR 'position 173')""
    - Domain-specific: ""trials.condition:melanoma AND trials.phase:3""

    Common fields:
    - Cross-domain: gene, disease, variant, chemical/drug
    - Articles: pmid, title, abstract, journal, author
    - Trials: trials.condition, trials.intervention, trials.phase, trials.status
    - Variants: variants.hgvs, variants.rsid, variants.significance

    Example:
    ```
    await search(
        query=""gene:BRAF AND disease:melanoma AND trials.phase:3"",
        max_results_per_domain=20
    )
    ```

    ## 2. DOMAIN-SPECIFIC SEARCH
    Use the 'domain' parameter with specific filters for targeted searches.

    Domains:
    - ""article"": Search PubMed/PubTator3 for research articles and preprints ABOUT genes, variants, diseases, or chemicals
    - ""trial"": Search ClinicalTrials.gov for clinical studies
    - ""variant"": Search MyVariant.info for genetic variant DATABASE RECORDS (population frequency, clinical significance, etc.) - NOT for articles about variants!

    Example:
    ```
    await search(
        domain=""article"",
        genes=[""BRAF"", ""NRAS""],
        diseases=[""melanoma""],
        page_size=50
    )
    ```

    ## DOMAIN SELECTION EXAMPLES:
    - To find ARTICLES about BRAF V600E mutation: domain=""article"", genes=[""BRAF""], variants=[""V600E""]
    - To find VARIANT DATA for BRAF mutations: domain=""variant"", gene=""BRAF""
    - To find articles about ERBB2 p.D277Y: domain=""article"", genes=[""ERBB2""], variants=[""p.D277Y""]
    - Common mistake: Using domain=""variant"" when you want articles about a variant

    ## IMPORTANT NOTES:
    - For complex research questions, use the separate 'think' tool for systematic analysis
    - The tool returns results in OpenAI MCP format: {""results"": [{""id"", ""title"", ""text"", ""url""}, ...]}
    - Search results do NOT include metadata (per OpenAI MCP specification)
    - Use the fetch tool to get detailed metadata for specific records
    - Use get_schema=True to explore available search fields
    - Use explain_query=True to understand query parsing (unified mode)
    - Domain-specific searches use AND logic for multiple values
    - For OR logic, use the unified query language
    - NEW: Article search keywords support OR with pipe separator: ""R173|Arg173|p.R173""
    - Remember: domain=""article"" finds LITERATURE, domain=""variant"" finds DATABASE RECORDS

    ## RETURN FORMAT:
    All search modes return results in this format:
    ```json
    {
        ""results"": [
            {
                ""id"": ""unique_identifier"",
                ""title"": ""Human-readable title"",
                ""text"": ""Summary or snippet of content"",
                ""url"": ""Link to full resource""
            }
        ]
    }
    ```
    "
BioMCP: Biomedical Model Context Protocol,fetch,"Fetch comprehensive details for a specific biomedical record.

    This tool retrieves full information for articles, clinical trials, or genetic variants
    using their unique identifiers. It returns data in a standardized format suitable for
    detailed analysis and research.

    ## IDENTIFIER FORMATS:
    - Articles: PMID (PubMed ID) - e.g., ""35271234"" OR DOI - e.g., ""10.1101/2024.01.20.23288905""
    - Trials: NCT ID (ClinicalTrials.gov ID) - e.g., ""NCT04280705""
    - Variants: HGVS notation or dbSNP ID - e.g., ""chr7:g.140453136A>T"" or ""rs121913254""

    The domain is automatically detected from the ID format if not provided:
    - NCT* → trial
    - Contains ""/"" with numeric prefix (DOI) → article
    - Pure numeric → article (PMID)
    - rs* or contains ':' or 'g.' → variant

    ## DOMAIN-SPECIFIC OPTIONS:

    ### Articles (domain=""article""):
    - Returns full article metadata, abstract, and full text when available
    - Supports both PubMed articles (via PMID) and Europe PMC preprints (via DOI)
    - Includes annotations for genes, diseases, chemicals, and variants (PubMed only)
    - detail=""full"" attempts to retrieve full text content (PubMed only)

    ### Clinical Trials (domain=""trial""):
    - detail=None or ""protocol"": Core study information
    - detail=""locations"": Study sites and contact information
    - detail=""outcomes"": Primary/secondary outcomes and results
    - detail=""references"": Related publications and citations
    - detail=""all"": Complete trial record with all sections

    ### Variants (domain=""variant""):
    - Returns comprehensive variant information including:
      - Clinical significance and interpretations
      - Population frequencies
      - Gene/protein effects
      - External database links
    - detail parameter is ignored (always returns full data)

    ## RETURN FORMAT:
    All fetch operations return a standardized format:
    ```json
    {
        ""id"": ""unique_identifier"",
        ""title"": ""Record title or name"",
        ""text"": ""Full content or comprehensive description"",
        ""url"": ""Link to original source"",
        ""metadata"": {
            // Domain-specific additional fields
        }
    }
    ```

    ## EXAMPLES:

    Fetch article by PMID (domain auto-detected):
    ```
    await fetch(id=""35271234"")
    ```

    Fetch article by DOI (domain auto-detected):
    ```
    await fetch(id=""10.1101/2024.01.20.23288905"")
    ```

    Fetch complete trial information (domain auto-detected):
    ```
    await fetch(
        id=""NCT04280705"",
        detail=""all""
    )
    ```

    Fetch variant with clinical interpretations:
    ```
    await fetch(id=""rs121913254"")
    ```

    Explicitly specify domain (optional):
    ```
    await fetch(
        domain=""variant"",
        id=""chr7:g.140453136A>T""
    )
    ```
    "
BioMCP: Biomedical Model Context Protocol,think,"REQUIRED FIRST STEP: Perform structured sequential thinking for ANY biomedical research task.

    🚨 IMPORTANT: You MUST use this tool BEFORE any search or fetch operations when:
    - Researching ANY biomedical topic (genes, diseases, variants, trials)
    - Planning to use multiple BioMCP tools
    - Answering questions that require analysis or synthesis
    - Comparing information from different sources
    - Making recommendations or drawing conclusions

    ⚠️ FAILURE TO USE THIS TOOL FIRST will result in:
    - Incomplete or poorly structured analysis
    - Missing important connections between data
    - Suboptimal search strategies
    - Overlooked critical information

    Sequential thinking ensures you:
    1. Fully understand the research question
    2. Plan an optimal search strategy
    3. Identify all relevant data sources
    4. Structure your analysis properly
    5. Deliver comprehensive, well-reasoned results

    ## Usage Pattern:
    1. Start with thoughtNumber=1 to initiate analysis
    2. Progress through numbered thoughts sequentially
    3. Adjust totalThoughts estimate as understanding develops
    4. Set nextThoughtNeeded=False only when analysis is complete

    ## Example:
    ```python
    # Initial analysis
    await think(
        thought=""Breaking down the relationship between BRAF mutations and melanoma treatment resistance..."",
        thoughtNumber=1,
        totalThoughts=5,
        nextThoughtNeeded=True
    )

    # Continue analysis
    await think(
        thought=""Examining specific BRAF V600E mutation mechanisms..."",
        thoughtNumber=2,
        totalThoughts=5,
        nextThoughtNeeded=True
    )

    # Final thought
    await think(
        thought=""Synthesizing findings and proposing research directions..."",
        thoughtNumber=5,
        totalThoughts=5,
        nextThoughtNeeded=False
    )
    ```

    ## Important Notes:
    - Each thought builds on previous ones within a session
    - State is maintained throughout the MCP session
    - Use thoughtful, detailed analysis in each step
    - Revisions and branching are supported through the underlying implementation
    "
BioMCP: Biomedical Model Context Protocol,article_searcher,"Search PubMed/PubTator3 for research articles and preprints.

    ⚠️ PREREQUISITE: Use the 'think' tool FIRST to plan your research strategy!

    Use this tool to find scientific literature ABOUT genes, variants, diseases, or chemicals.
    Results include articles from PubMed and optionally preprints from bioRxiv/medRxiv.

    Important: This searches for ARTICLES ABOUT these topics, not database records.
    For genetic variant database records, use variant_searcher instead.

    Example usage:
    - Find articles about BRAF mutations in melanoma
    - Search for papers on a specific drug's effects
    - Locate research on gene-disease associations
    "
BioMCP: Biomedical Model Context Protocol,article_getter,"Fetch detailed information for a specific article.

    Retrieves the full abstract and available text for an article by its identifier.
    Supports:
    - PubMed IDs (PMID) for published articles
    - PMC IDs for articles in PubMed Central
    - DOIs for preprints from Europe PMC

    Returns formatted text including:
    - Title
    - Abstract
    - Full text (when available from PMC for published articles)
    - Source information (PubMed or Europe PMC)
    "
BioMCP: Biomedical Model Context Protocol,trial_searcher,"Search ClinicalTrials.gov for clinical studies.

    ⚠️ PREREQUISITE: Use the 'think' tool FIRST to plan your research strategy!

    Comprehensive search tool for finding clinical trials based on multiple criteria.
    Supports filtering by conditions, interventions, location, phase, and eligibility.

    Location search notes:
    - Use either location term OR lat/long coordinates, not both
    - For city-based searches, AI agents should geocode to lat/long first
    - Distance parameter only works with lat/long coordinates

    Returns a formatted list of matching trials with key details.
    "
BioMCP: Biomedical Model Context Protocol,trial_getter,"Fetch comprehensive details for a specific clinical trial.

    Retrieves all available information for a clinical trial by its NCT ID.
    This includes protocol details, locations, outcomes, and references.

    For specific sections only, use the specialized getter tools:
    - trial_protocol_getter: Core protocol information
    - trial_locations_getter: Site locations and contacts
    - trial_outcomes_getter: Primary/secondary outcomes and results
    - trial_references_getter: Publications and references
    "
BioMCP: Biomedical Model Context Protocol,trial_protocol_getter,"Fetch core protocol information for a clinical trial.

    Retrieves essential protocol details including:
    - Official title and brief summary
    - Study status and sponsor information
    - Study design (type, phase, allocation, masking)
    - Eligibility criteria
    - Primary completion date
    "
BioMCP: Biomedical Model Context Protocol,trial_references_getter,"Fetch publications and references for a clinical trial.

    Retrieves all linked publications including:
    - Published results papers
    - Background literature
    - Protocol publications
    - Related analyses

    Includes PubMed IDs when available for easy cross-referencing.
    "
BioMCP: Biomedical Model Context Protocol,trial_outcomes_getter,"Fetch outcome measures and results for a clinical trial.

    Retrieves detailed outcome information including:
    - Primary outcome measures
    - Secondary outcome measures
    - Results data (if available)
    - Adverse events (if reported)

    Note: Results are only available for completed trials that have posted data.
    "
BioMCP: Biomedical Model Context Protocol,trial_locations_getter,"Fetch contact and location details for a clinical trial.

    Retrieves all study locations including:
    - Facility names and addresses
    - Principal investigator information
    - Contact details (when recruiting)
    - Recruitment status by site

    Useful for finding trials near specific locations or contacting study teams.
    "
BioMCP: Biomedical Model Context Protocol,variant_searcher,"Search MyVariant.info for genetic variant DATABASE RECORDS.

    ⚠️ PREREQUISITE: Use the 'think' tool FIRST to plan your research strategy!

    Important: This searches for variant DATABASE RECORDS (frequency, significance, etc.),
    NOT articles about variants. For articles about variants, use article_searcher.

    Searches the comprehensive variant database including:
    - Population frequencies (gnomAD, 1000 Genomes, etc.)
    - Clinical significance (ClinVar)
    - Functional predictions (SIFT, PolyPhen, CADD)
    - Gene and protein consequences

    Search by various identifiers or filter by clinical/functional criteria.
    "
BioMCP: Biomedical Model Context Protocol,variant_getter,"Fetch comprehensive details for a specific genetic variant.

    Retrieves all available information for a variant including:
    - Gene location and consequences
    - Population frequencies across databases
    - Clinical significance from ClinVar
    - Functional predictions
    - External annotations (TCGA cancer data, conservation scores)

    Accepts various ID formats:
    - HGVS: NM_004333.4:c.1799T>A
    - rsID: rs113488022
    - MyVariant ID: chr7:g.140753336A>T
    "
BioMCP: Biomedical Model Context Protocol,alphagenome_predictor,"Predict variant effects on gene regulation using Google DeepMind's AlphaGenome.

    ⚠️ PREREQUISITE: Use the 'think' tool FIRST to plan your analysis strategy!

    AlphaGenome provides state-of-the-art predictions for how genetic variants
    affect gene regulation, including:
    - Gene expression changes (RNA-seq)
    - Chromatin accessibility impacts (ATAC-seq, DNase-seq)
    - Splicing alterations
    - Promoter activity changes (CAGE)

    This tool requires:
    1. AlphaGenome to be installed (see error message for instructions)
    2. An API key from https://deepmind.google.com/science/alphagenome

    API Key Options:
    - Provide directly via the api_key parameter
    - Or set ALPHAGENOME_API_KEY environment variable

    Example usage:
    - Predict regulatory effects of BRAF V600E mutation: chr7:140753336 A>T
    - Assess non-coding variant impact on gene expression
    - Evaluate promoter variants in specific tissues

    Note: This is an optional tool that enhances variant interpretation
    with AI predictions. Standard annotations remain available via variant_getter.
    "
duckduckgo-search MCP Server,duckduckgo_web_search,"Performs a web search using the DuckDuckGo, ideal for general queries, news, articles, and online content. Use this for broad information gathering, recent events, or when you need diverse web sources. Supports content filtering and region-specific searches. Maximum 20 results per request."
Baige (ygocdb.com) MCP Server,search_cards,通过关键字搜索游戏王卡牌，可以搜索卡牌名称、效果文本等。
Baige (ygocdb.com) MCP Server,get_card_by_id,通过卡牌ID获取单张游戏王卡牌的详细信息
Baige (ygocdb.com) MCP Server,get_card_image,通过卡牌ID获取游戏王卡牌的图片
MCP Image Extractor,extract_image_from_file,"Extract and analyze images from local file paths. Supports visual content understanding, OCR text extraction, and object recognition for screenshots, photos, diagrams, and documents."
MCP Image Extractor,extract_image_from_url,"Extract and analyze images from web URLs. Perfect for analyzing web screenshots, online photos, diagrams, or any image accessible via HTTP/HTTPS for visual content analysis and text extraction."
MCP Image Extractor,extract_image_from_base64,"Extract and analyze images from base64-encoded data. Ideal for processing screenshots from clipboard, dynamically generated images, or images embedded in applications without requiring file system access."
Trends Hub,get-36kr-trending,获取 36 氪热榜，提供创业、商业、科技领域的热门资讯，包含投融资动态、新兴产业分析和商业模式创新信息
Trends Hub,get-9to5mac-news,获取 9to5Mac 苹果相关新闻，包含苹果产品发布、iOS 更新、Mac 硬件、应用推荐及苹果公司动态的英文资讯
Trends Hub,get-bbc-news,获取 BBC 新闻，提供全球新闻、英国新闻、商业、政治、健康、教育、科技、娱乐等资讯
Trends Hub,get-bilibili-rank,获取哔哩哔哩视频排行榜，包含全站、动画、音乐、游戏等多个分区的热门视频，反映当下年轻人的内容消费趋势
Trends Hub,get-douban-rank,获取豆瓣实时热门榜单，提供当前热门的图书、电影、电视剧、综艺等作品信息，包含评分和热度数据
Trends Hub,get-douyin-trending,获取抖音热搜榜单，展示当下最热门的社会话题、娱乐事件、网络热点和流行趋势
Trends Hub,get-gcores-new,获取机核网游戏相关资讯，包含电子游戏评测、玩家文化、游戏开发和游戏周边产品的深度内容
Trends Hub,get-ifanr-news,获取爱范儿科技快讯，包含最新的科技产品、数码设备、互联网动态等前沿科技资讯
Trends Hub,get-infoq-news,获取 InfoQ 技术资讯，包含软件开发、架构设计、云计算、AI等企业级技术内容和前沿开发者动态
Trends Hub,get-juejin-article-rank,获取掘金文章榜，包含前端开发、后端技术、人工智能、移动开发及技术架构等领域的高质量中文技术文章和教程
Trends Hub,get-netease-news-trending,获取网易新闻热点榜，包含时政要闻、社会事件、财经资讯、科技动态及娱乐体育的全方位中文新闻资讯
Trends Hub,get-nytimes-news,获取纽约时报新闻，包含国际政治、经济金融、社会文化、科学技术及艺术评论的高质量英文或中文国际新闻资讯
Trends Hub,get-smzdm-rank,获取什么值得买热门，包含商品推荐、优惠信息、购物攻略、产品评测及消费经验分享的实用中文消费类资讯
Trends Hub,get-sspai-rank,获取少数派热榜，包含数码产品评测、软件应用推荐、生活方式指南及效率工作技巧的优质中文科技生活类内容
Trends Hub,get-tencent-news-trending,获取腾讯新闻热点榜，包含国内外时事、社会热点、财经资讯、娱乐动态及体育赛事的综合性中文新闻资讯
Trends Hub,get-thepaper-trending,获取澎湃新闻热榜，包含时政要闻、财经动态、社会事件、文化教育及深度报道的高质量中文新闻资讯
Trends Hub,get-theverge-news,获取 The Verge 新闻，包含科技创新、数码产品评测、互联网趋势及科技公司动态的英文科技资讯
Trends Hub,get-toutiao-trending,获取今日头条热榜，包含时政要闻、社会事件、国际新闻、科技发展及娱乐八卦等多领域的热门中文资讯
Trends Hub,get-weibo-trending,获取微博热搜榜，包含时事热点、社会现象、娱乐新闻、明星动态及网络热议话题的实时热门中文资讯
Trends Hub,get-weread-rank,获取微信读书排行榜，包含热门小说、畅销书籍、新书推荐及各类文学作品的阅读数据和排名信息
Trends Hub,get-zhihu-trending,获取知乎热榜，包含时事热点、社会话题、科技动态、娱乐八卦等多领域的热门问答和讨论的中文资讯
OpenStreetMap (OSM) MCP Server,geocode_address,"
Convert an address or place name to geographic coordinates with detailed location information.

This tool takes a text description of a location (such as an address, landmark name, or
place of interest) and returns its precise geographic coordinates along with rich metadata.
The results can be used for mapping, navigation, location-based analysis, and as input to
other geospatial tools.

Args:
    address: The address, place name, landmark, or description to geocode (e.g., ""Empire State Building"", 
            ""123 Main St, Springfield"", ""Golden Gate Park, San Francisco"")
    
Returns:
    List of matching locations with:
    - Geographic coordinates (latitude/longitude)
    - Formatted address
    - Administrative boundaries (city, state, country)
    - OSM type and ID
    - Bounding box (if applicable)
    - Importance ranking
"
OpenStreetMap (OSM) MCP Server,reverse_geocode,"
Convert geographic coordinates to a detailed address and location description.

This tool takes a specific point on Earth (latitude and longitude) and returns 
comprehensive information about that location, including its address, nearby landmarks,
administrative boundaries, and other contextual information. Useful for translating
GPS coordinates into human-readable locations.

Args:
    latitude: The latitude coordinate (decimal degrees, WGS84)
    longitude: The longitude coordinate (decimal degrees, WGS84)
    
Returns:
    Detailed address and location information including:
    - Formatted address
    - Building, street, city, state, country
    - Administrative hierarchy
    - OSM metadata
    - Postal code and other relevant identifiers
"
OpenStreetMap (OSM) MCP Server,find_nearby_places,"
Discover points of interest and amenities near a specific location.

This tool performs a comprehensive search around a geographic point to identify
nearby establishments, amenities, and points of interest. Results are organized by
category and subcategory, making it easy to find specific types of places. Essential
for location-based recommendations, neighborhood analysis, and proximity-based decision making.

Args:
    latitude: Center point latitude (decimal degrees)
    longitude: Center point longitude (decimal degrees)
    radius: Search radius in meters (defaults to 1000m/1km)
    categories: List of OSM categories to search for (e.g., [""amenity"", ""shop"", ""tourism""]).
               If omitted, searches common categories.
    limit: Maximum number of total results to return
    
Returns:
    Structured dictionary containing:
    - Original query parameters
    - Total count of places found
    - Results grouped by category and subcategory
    - Each place includes name, coordinates, and associated tags
"
OpenStreetMap (OSM) MCP Server,get_route_directions,"
Calculate detailed route directions between two geographic points.

This tool provides comprehensive turn-by-turn navigation directions between any two locations
on Earth. It calculates the optimal route based on the specified transportation mode and
returns detailed information about distance, duration, maneuvers, and the route geometry.
Perfect for trip planning, navigation assistance, and commute analysis.

Args:
    from_latitude: Starting point latitude (decimal degrees)
    from_longitude: Starting point longitude (decimal degrees)
    to_latitude: Destination latitude (decimal degrees)
    to_longitude: Destination longitude (decimal degrees)
    mode: Transportation mode - options include:
          - ""car"" (default): Standard automobile routing
          - ""bike"": Bicycle-friendly routes
          - ""foot"": Pedestrian walking paths
    
Returns:
    Comprehensive routing information including:
    - Summary with total distance (meters) and duration (seconds)
    - Turn-by-turn directions with individual segments
    - Route geometry for mapping visualization
    - Waypoint information
"
OpenStreetMap (OSM) MCP Server,search_category,"
Search for specific types of places within a defined geographic area.

This tool allows targeted searches for places matching specific categories within
a rectangular geographic region. It's particularly useful for filtering places by type
(restaurants, schools, parks, etc.) within a neighborhood or city district. Results include
complete location details and metadata about each matching place.

Args:
    category: Main OSM category to search for (e.g., ""amenity"", ""shop"", ""tourism"", ""building"")
    min_latitude: Southern boundary of search area (decimal degrees)
    min_longitude: Western boundary of search area (decimal degrees)
    max_latitude: Northern boundary of search area (decimal degrees)
    max_longitude: Eastern boundary of search area (decimal degrees)
    subcategories: Optional list of specific subcategories to filter by (e.g., [""restaurant"", ""cafe""])
    
Returns:
    Structured results including:
    - Query parameters
    - Count of matching places
    - List of matching places with coordinates, names, and metadata
"
OpenStreetMap (OSM) MCP Server,suggest_meeting_point,"
Find the optimal meeting place for multiple people coming from different locations.

This tool calculates a central meeting point based on the locations of multiple individuals,
then recommends suitable venues near that central point. Ideal for planning social gatherings,
business meetings, or any situation where multiple people need to converge from different
starting points.

Args:
    locations: List of dictionaries, each containing the latitude and longitude of a person's location
              Example: [{""latitude"": 37.7749, ""longitude"": -122.4194}, {""latitude"": 37.3352, ""longitude"": -121.8811}]
    venue_type: Type of venue to suggest as a meeting point. Options include:
               ""cafe"", ""restaurant"", ""bar"", ""library"", ""park"", etc.
    
Returns:
    Meeting point recommendations including:
    - Calculated center point coordinates
    - List of suggested venues with names and details
    - Total number of matching venues in the area
"
OpenStreetMap (OSM) MCP Server,explore_area,"
Generate a comprehensive profile of an area including all amenities and features.

This powerful analysis tool creates a detailed overview of a neighborhood or area by
identifying and categorizing all geographic features, amenities, and points of interest.
Results are organized by category for easy analysis. Excellent for neighborhood research,
area comparisons, and location-based decision making.

Args:
    latitude: Center point latitude (decimal degrees)
    longitude: Center point longitude (decimal degrees)
    radius: Search radius in meters (defaults to 500m)
    
Returns:
    In-depth area profile including:
    - Address and location context
    - Total feature count
    - Features organized by category and subcategory
    - Each feature includes name, coordinates, and detailed metadata
"
OpenStreetMap (OSM) MCP Server,find_schools_nearby,"
Locate educational institutions near a specific location, filtered by education level.

This specialized search tool identifies schools, colleges, and other educational institutions
within a specified distance from a location. Results can be filtered by education level
(elementary, middle, high school, university, etc.). Essential for families evaluating
neighborhoods or real estate purchases with education considerations.

Args:
    latitude: Center point latitude (decimal degrees)
    longitude: Center point longitude (decimal degrees)
    radius: Search radius in meters (defaults to 2000m/2km)
    education_levels: Optional list of specific education levels to filter by
                     (e.g., [""elementary"", ""secondary"", ""university""])
    
Returns:
    List of educational institutions with:
    - Name and type
    - Distance from search point
    - Education levels offered
    - Contact information if available
    - Other relevant metadata
"
OpenStreetMap (OSM) MCP Server,analyze_commute,"
Perform a detailed commute analysis between home and work locations.

This advanced tool analyzes commute options between two locations (typically home and work),
comparing multiple transportation modes and providing detailed metrics for each option.
Includes estimated travel times, distances, turn-by-turn directions, and other commute-relevant
data. Essential for real estate decisions, lifestyle planning, and workplace relocation analysis.

Args:
    home_latitude: Home location latitude (decimal degrees)
    home_longitude: Home location longitude (decimal degrees)
    work_latitude: Workplace location latitude (decimal degrees)
    work_longitude: Workplace location longitude (decimal degrees)
    modes: List of transportation modes to analyze (options: ""car"", ""foot"", ""bike"")
    depart_at: Optional departure time (format: ""HH:MM"") for time-sensitive routing
    
Returns:
    Comprehensive commute analysis with:
    - Summary comparing all transportation modes
    - Detailed route information for each mode
    - Total distance and duration for each option
    - Turn-by-turn directions
"
