mcp_server_name,tool_name,description_label,description_quality_score,description_reason,description_improvement_needed,purpose_score,usage_guideline_score,limitation_score,parameter_explanation_score,examples_balance_score,length_completeness_score
date,get_current_datetime_utc,Good,100,"The description is comprehensive, precise, and self-sufficient, with clear explanations across all six dimensions and no reliance on examples to convey core meaning.",,5,5,5,5,5,5
date,get_date_in_timezone,Good,95,"The description is comprehensive, precise, and well-structured across all dimensions, with only minor room for improvement in example integration.",,5,5,5,5,4,5
date,get_timestamp,Good,100,"The description is comprehensive, precise, and self-sufficient, with clear purpose, usage guidance, limitations, parameter details, balanced examples, and sufficient length.",,5,5,5,5,5,5
date,get_today_date,Good,100,"The description is comprehensive, precise, and self-sufficient, covering all aspects of the tool with clear language, appropriate examples, and balanced structure.",,5,5,5,5,5,5
echo,echo_tool,Good,88,"The description is comprehensive, well-structured, and clearly explains the tool's function, usage, and limitations, with only minor gaps in parameter explanation.","parameter_explanation: The tool is described as having no parameters, but this should be explicitly stated with clarity (e.g., 'No input parameters required') and confirmed that it accepts a single string input without any configuration.",5,5,4,2,5,5
fetch,fetch,Good,88,"The description is comprehensive, well-structured, and covers all key aspects with clear explanations, though some parameter defaults and naming details are missing.",parameter_explanation: Missing explicit default values and exact parameter name for markdown extraction; limitation: Ambiguity around metadata return (status code in error vs. stated absence) needs clarification,5,5,4,3,4,5
filesystem,create_directory,Good,96,"The description is comprehensive, well-structured, and meets all key criteria across all six components with only minor room for improvement in parameter detail.",,5,5,5,4,5,5
filesystem,directory_tree,Good,100,"The description is comprehensive, precise, and self-sufficient, covering all aspects of the tool with clear, well-structured prose and no reliance on examples.",,5,5,5,5,5,5
filesystem,edit_file,Good,96,"The description is comprehensive, precise, and well-structured, covering all key aspects with clear language and appropriate depth.","parameter_explanation: minor improvement needed in explicitly stating the expected format or structure of 'edit instructions' (e.g., list of dicts with 'start_line', 'end_line', 'content') to fully meet 5/5 criteria",5,5,5,4,5,5
filesystem,get_file_info,Good,88,"The description is comprehensive, well-structured, and covers all key aspects with clear, precise language; only minor gaps in parameter detail and limitation specificity prevent a perfect score.","limitation: Missing explicit mention of timestamp format (e.g., ISO 8601) and permission encoding (e.g., octal or symbolic), which are important for reliable use; parameter_explanation: Parameter 'path' lacks explanation of valid path formats (e.g., absolute vs. relative), allowed characters, or handling of special cases (e.g., symlinks, non-existent paths)",5,5,4,3,5,5
filesystem,list_allowed_directories,Good,100,"The description is comprehensive, precise, and self-sufficient, covering all key aspects with clear, well-structured prose and no reliance on examples.",,5,5,5,5,5,5
filesystem,list_directory,Good,100,"The description is comprehensive, well-structured, and fully satisfies all rubric criteria with precise language, clear boundaries, and balanced explanation.",,5,5,5,5,5,5
filesystem,list_directory_with_sizes,Good,75,"The description is comprehensive and well-structured, with clear purpose, usage guidance, and limitations; minor gaps in parameter detail and example balance prevent a perfect score.","parameter_explanation: missing exact parameter names and detailed behavioral impact for edge cases (e.g., symlinks, permission-denied entries); examples_balance: over-reliance on descriptive prose with no illustrative examples to supplement understanding",4,5,4,3,3,4
filesystem,move_file,Good,96,"The description is comprehensive, well-structured, and meets all key criteria with clear purpose, usage guidance, limitations, parameter details, and appropriate length.",,5,4,5,5,5,5
filesystem,read_file,Good,100,"The description is comprehensive, precise, and self-sufficient, covering purpose, usage, limitations, parameters, and context with no reliance on examples. All components are fully addressed at the highest level.",,5,5,5,5,5,5
filesystem,read_media_file,Good,100,"The description is comprehensive, precise, and self-sufficient, covering all key aspects with clear, well-structured prose and no reliance on examples.",,5,5,5,5,5,5
filesystem,read_multiple_files,Good,100,"The description is comprehensive, well-structured, and fully satisfies all six rubric criteria with precise, self-sufficient explanations and no reliance on examples.",,5,5,5,5,5,5
filesystem,read_text_file,Good,96,"The description is comprehensive, well-structured, and meets all key criteria across all six components with only minor gaps in parameter detail.",,5,5,5,4,5,5
filesystem,search_files,Good,100,"The description is comprehensive, precise, and self-sufficient, with clear explanations of purpose, usage, limitations, parameters, and structure, meeting all criteria at the highest level.",,5,5,5,5,5,5
filesystem,write_file,Good,92,"The description is comprehensive, well-structured, and covers all key aspects with clear, precise language; only minor improvements needed in usage guidance and parameter details.","usage_guideline: Add more explicit disambiguation about when NOT to use (e.g., for appending or metadata changes) and clarify the consequences of using outside allowed directories.; parameter_explanation: Clarify the exact encoding behavior (e.g., UTF-8) and explicitly state that no default values exist for required parameters.",5,4,5,4,5,5
github,add_comment_to_pending_review,Bad,62,"The description lacks essential parameter details, which undermines usability despite strong coverage in other areas.",parameter_explanation (score: 1); examples_balance (score: 3),5,5,5,1,3,4
github,add_issue_comment,Good,100,"The tool description is comprehensive, precise, and self-sufficient, with clear purpose, usage guidance, limitations, parameter details, and appropriate length.",,5,5,5,5,5,5
github,add_sub_issue,Good,75,"The description is comprehensive, well-structured, and covers all key aspects with clear intent, though it lacks explicit parameter definitions despite being a critical component.",parameter_explanation: 2,4,4,5,2,5,4
github,assign_copilot_to_issue,Good,100,"The description is comprehensive, precise, and self-sufficient across all six rubric components, with no gaps or ambiguities.",,5,5,5,5,5,5
github,cancel_workflow_run,Good,100,"The description is comprehensive, precise, and self-sufficient, covering all aspects of the tool with clear language, explicit usage boundaries, and full parameter and limitation details.",,5,5,5,5,5,5
github,create_and_submit_pull_request_review,Good,96,"The description is comprehensive, clearly defines the tool's function, usage boundaries, limitations, and parameters, with well-structured prose and no reliance on examples to replace explanation.","parameter_explanation: Missing explicit indication of parameter types (e.g., string vs. integer) and behavioral impact of each value beyond accepted values; could clarify required status more consistently",5,5,5,4,5,5
github,create_branch,Good,96,"The tool description is comprehensive, well-structured, and meets all key criteria with precise language, clear usage boundaries, detailed limitations, thorough parameter explanations, and balanced examples that support rather than replace the prose.",,5,5,5,5,4,5
github,create_gist,Good,96,"The description is comprehensive, precise, and self-sufficient, with clear purpose, usage guidance, limitations, and structure; only minor gaps in parameter explanation.",,5,5,5,4,5,5
github,create_issue,Good,83,"The description is comprehensive, well-structured, and covers all key aspects with clear, precise language; only minor gaps exist in parameter explanation.",parameter_explanation: 3,5,4,5,3,5,5
github,create_or_update_file,Good,100,"The tool description is comprehensive, precise, and self-sufficient, with clear purpose, usage guidance, limitations, parameter details, balanced examples, and sufficient length.",,5,5,5,5,5,5
github,create_pending_pull_request_review,Good,96,"The description is comprehensive, precise, and well-structured, covering all key aspects with clear language and appropriate depth.","parameter_explanation: While the absence of parameters is clearly stated, the explanation could better emphasize the dependency on external context (e.g., environment variables or API context) and clarify how this affects reliability or error handling.",5,5,5,4,5,5
github,create_pull_request,Good,83,"The description is comprehensive, well-structured, and covers all key aspects with strong clarity on purpose, limitations, and usage context, though parameter explanation and example balance need improvement.",parameter_explanation; examples_balance,5,4,5,3,2,5
github,create_repository,Bad,58,"The tool description contains critical contradictions between the stated behavior (no parameters, no output) and the examples (which show input parameters and JSON responses), undermining trust and clarity.",purpose (3); parameter_explanation (2); examples_balance (2),3,4,4,2,2,4
github,delete_file,Good,75,"All components meet or exceed the minimum threshold of 3, with clear explanations across key areas like purpose, usage, and parameters, though some limitations and parameter details could be more precise.",limitation: lacks explicit mention of error conditions and return values; parameter_explanation: contextual inputs are not clearly framed as implicit dependencies; need clearer distinction between formal parameters and required context,4,4,3,3,4,4
github,delete_pending_pull_request_review,Good,100,"The description is comprehensive, precise, and self-sufficient, covering all aspects of the tool with clear language, explicit usage boundaries, and full parameter and limitation details.",,5,5,5,5,5,5
github,delete_workflow_run_logs,Good,92,"The description is comprehensive, clear, and self-sufficient with strong coverage across all components except parameter explanation, which is only partially addressed.","parameter_explanation: The tool is said to require no input parameters, but this should be explicitly stated with a clear note on why no parameters are needed and how the context is determined externally.",5,5,5,3,5,5
github,dismiss_notification,Good,100,"The description is comprehensive, precise, and self-sufficient, with clear purpose, usage guidance, limitations, parameter details, and appropriate length.",,5,5,5,5,5,5
github,download_workflow_run_artifact,Good,67,"The description is comprehensive and self-sufficient, with clear purpose and appropriate usage guidance; minor gaps in parameter clarity and limitation details prevent a higher score.","limitation: Missing explicit mention of authentication/permission requirements and URL expiry; parameter_explanation: Parameters lack type, name, format (e.g., name vs. ID), and default values",5,4,3,2,5,4
github,fork_repository,Good,92,"The tool description is comprehensive, well-structured, and meets all key criteria with clear purpose, usage guidance, limitations, and parameter details; minor gaps in parameter explanation and example balance prevent a perfect score.","parameter_explanation: Clarify the required/default status and type for 'destination_org' and authentication (e.g., whether it's a header, body field, or environment variable); examples_balance: Reduce reliance on examples by integrating more descriptive prose to explain behavior and outcomes",5,5,5,4,4,5
github,get_code_scanning_alert,Good,88,"The description is comprehensive, well-structured, and clearly explains the tool's purpose, usage, limitations, and context, though parameter explanation is weak due to lack of explicit parameter details.",parameter_explanation,5,4,5,2,5,5
github,get_commit,Good,96,"The description is comprehensive, well-structured, and meets all key criteria across all six components with only minor room for improvement in parameter explanation.",,5,5,5,4,5,5
github,get_dependabot_alert,Good,95,"The description is comprehensive, well-structured, and meets all key criteria across the rubric, with only minor room for improvement in parameter explanation.",,5,5,5,4,5,5
github,get_discussion,Good,75,"The description is comprehensive, well-structured, and covers all key aspects with clear intent, though parameter details are incomplete.","parameter_explanation: missing type, required/default status, and behavioral impact for 'discussion ID' and 'repository context'",5,4,5,2,5,4
github,get_discussion_comments,Good,100,"The description is comprehensive, precise, and self-sufficient, covering all key aspects with clear language and no reliance on examples.",,5,5,5,5,5,5
github,get_file_contents,Good,96,"The tool description is comprehensive, well-structured, and meets all key criteria with clear purpose, usage guidance, limitations, parameter details, balanced examples, and sufficient length.",,5,4,5,5,5,5
github,get_issue,Good,95,"The description is comprehensive, clearly defines the tool’s function, usage context, limitations, and parameters with precise language, and maintains strong prose without over-reliance on examples.","parameter_explanation: The 'authentication' parameter lacks clarity on format (e.g., token type, expected structure) and whether it is passed as a header, query, or body. Add explicit guidance on authentication mechanism.",5,5,5,4,5,5
github,get_issue_comments,Good,100,"The description is comprehensive, precise, and self-sufficient, covering all key aspects with clear language and no redundancy or omission.",,5,5,5,5,5,5
github,get_job_logs,Good,100,"The description is comprehensive, precise, and self-sufficient, with clear explanations of purpose, usage, limitations, parameters, and structure, all within a well-organized, substantive paragraph.",,5,5,5,5,5,5
github,get_me,Good,100,"The description is comprehensive, precise, and fully satisfies all rubric criteria with no weaknesses.",,5,5,5,5,5,5
github,get_notification_details,Good,95,"The description is comprehensive, well-structured, and meets all rubric criteria with clear purpose, usage guidance, limitations, and parameter details; only minor gaps in parameter explanation prevent a perfect score.","parameter_explanation: Clarify the expected format or type of notification_id (e.g., numeric ID, UUID, or URL) to avoid ambiguity",5,5,5,4,5,5
github,get_pull_request,Good,92,"The description is comprehensive, well-structured, and meets all key criteria across the rubric, with only minor shortcomings in parameter explanation.","parameter_explanation: The tool is described as having no direct input parameters, but the context requirements (owner, repo, PR number) are listed without clear indication of their role as implicit inputs or how they are passed. The explanation lacks type, required status, and behavioral impact for each context element, which reduces clarity.",5,5,5,3,5,5
github,get_pull_request_comments,Good,92,"The description is comprehensive, well-structured, and meets all key criteria except for parameter explanation, which is weak due to the absence of any parameter details despite the tool having no parameters.",parameter_explanation,5,5,5,2,5,5
github,get_pull_request_diff,Good,100,"The tool description is comprehensive, precise, and self-sufficient, with clear purpose, usage guidance, limitations, parameter details, and appropriate length.",,5,5,5,5,5,5
github,get_pull_request_files,Good,92,"The description is comprehensive, well-structured, and meets all key criteria for clarity, completeness, and usability.","parameter_explanation: Missing type, required/default status, and behavioral impact for each parameter",5,5,5,3,5,5
github,get_pull_request_reviews,Good,96,"The description is comprehensive, clearly defines the tool's function, usage boundaries, limitations, and input behavior, with only minor room for improvement in parameter explanation.","parameter_explanation: While it correctly states no parameters are accepted, it could more explicitly clarify that the absence of parameters is intentional and that the pull request must be resolved externally, reinforcing the implicit context requirement.",5,5,5,4,5,5
github,get_pull_request_status,Good,100,"The description comprehensively covers all aspects of the tool with precise language, clear usage guidance, explicit limitations, full parameter explanation (including context-based input), balanced prose, and sufficient length and structure.",,5,5,5,5,5,5
github,get_secret_scanning_alert,Good,75,"The description is comprehensive and well-structured, with strong purpose, usage guidance, and limitations, though parameter explanation is weak and lacks critical details.",parameter_explanation: 2; examples_balance: 3,5,4,4,2,3,4
github,get_tag,Good,100,"The description is comprehensive, precise, and self-sufficient, covering all key aspects with clear, well-structured prose and no reliance on examples.",,5,5,5,5,5,5
github,get_workflow_run,Good,100,"The description is comprehensive, precise, and self-sufficient, covering all key aspects with clear, well-structured prose and no reliance on examples.",,5,5,5,5,5,5
github,get_workflow_run_logs,Good,88,"The description is comprehensive, well-structured, and clearly explains the tool's purpose, usage, limitations, and behavior, with only minor issues in parameter clarity.","parameter_explanation: The parameter type and format are not specified, which undermines usability despite clear required/behavioral info",5,5,5,2,5,5
github,get_workflow_run_usage,Good,100,"The description is comprehensive, precise, and self-sufficient, with clear purpose, usage guidance, limitations, parameter details, and appropriate length.",,5,5,5,5,5,5
github,list_branches,Good,83,"The description is comprehensive and well-structured, with strong clarity on purpose, usage, and limitations, though minor inconsistencies in parameter explanation and over-reliance on examples reduce the score slightly.","parameter_explanation: The tool is described as requiring no input parameters, yet examples include a 'repo_name' field, creating confusion. This needs clarification to resolve the contradiction.; examples_balance: The description is heavily reliant on examples, with minimal prose to explain the tool's behavior, which undermines the self-sufficiency of the text.",5,5,4,3,2,5
github,list_code_scanning_alerts,Good,92,"The description is comprehensive, well-structured, and clearly communicates the tool's function, usage context, limitations, and required conditions, with only minor shortcomings in parameter explanation.","parameter_explanation: The tool is described as having no parameters, but this is not clearly framed as a design choice or limitation. A brief explanation of why no parameters are accepted (e.g., context-based repository selection) would improve clarity and align with the rubric's requirement for behavioral impact and required/default status.",5,5,5,2,5,5
github,list_commits,Good,100,"The description is comprehensive, precise, and self-sufficient, with clear explanations across all six rubric dimensions, including full parameter clarity despite no parameters being present.",,5,5,5,5,5,5
github,list_dependabot_alerts,Good,96,"The description is comprehensive, well-structured, and meets all key criteria across all six components with only minor room for improvement in parameter explanation.","parameter_explanation: While it correctly states no parameters are required, it could better clarify that the tool operates within a predefined repository context (e.g., via context injection or prior setup), which would improve clarity on how the input is implicitly provided.",5,5,5,4,5,5
github,list_discussion_categories,Good,100,"The description is comprehensive, precise, and self-sufficient, covering all key aspects with clear, well-structured prose and no reliance on examples.",,5,5,5,5,5,5
github,list_discussions,Good,100,"The description is comprehensive, self-sufficient, and fully addresses all six rubric components with precise, well-structured prose and no reliance on examples.",,5,5,5,5,5,5
github,list_gists,Good,95,"The description is comprehensive, well-structured, and meets all criteria across the rubric, with only minor room for improvement in parameter explanation.",,5,5,5,4,5,5
github,list_issues,Good,83,"The description is comprehensive and well-structured, with strong clarity on purpose, usage, limitations, and context, though parameter explanation and example balance are weak due to contradictory information and over-reliance on examples.",parameter_explanation: 2; examples_balance: 2,5,5,5,2,2,4
github,list_notifications,Good,96,"The description is comprehensive, well-structured, and meets all key criteria across all six components with no critical deficiencies.",,5,5,5,4,5,5
github,list_pull_requests,Good,100,"The description is comprehensive, precise, and fully satisfies all six rubric criteria with no weaknesses.",,5,5,5,5,5,5
github,list_secret_scanning_alerts,Good,100,"The description is comprehensive, precise, and fully satisfies all rubric criteria with no weaknesses.",,5,5,5,5,5,5
github,list_sub_issues,Good,100,"The description is comprehensive, precise, and self-sufficient, covering all key aspects with clear language and no reliance on examples.",,5,5,5,5,5,5
github,list_tags,Good,100,"The description is comprehensive, precise, and self-sufficient, covering all key aspects with clear language and no reliance on examples.",,5,5,5,5,5,5
github,list_workflow_jobs,Good,95,"The description is comprehensive, well-structured, and meets all criteria across the six components with no critical deficiencies.",,5,5,5,4,5,5
github,list_workflow_run_artifacts,Good,100,"The description is comprehensive, precise, and self-sufficient, with clear explanations across all six dimensions of the rubric.",,5,5,5,5,5,5
github,list_workflow_runs,Good,92,"The description is comprehensive, well-structured, and clearly communicates the tool's purpose, usage, limitations, and context requirements, though it lacks parameter explanation.",parameter_explanation,5,5,5,2,5,5
github,list_workflows,Good,100,"The tool description is comprehensive, precise, and self-sufficient, with clear purpose, usage guidance, limitations, parameter details, and appropriate length.",,5,5,5,5,5,5
github,manage_notification_subscription,Good,100,"The description is comprehensive, precise, and self-sufficient, covering all key aspects with clear, structured prose and no reliance on examples.",,5,5,5,5,5,5
github,manage_repository_notification_subscription,Good,100,"The description is comprehensive, precise, and self-sufficient, with clear explanations of purpose, usage, limitations, parameters, and structure, meeting all criteria at the highest level.",,5,5,5,5,5,5
github,mark_all_notifications_read,Good,100,"The description is comprehensive, precise, and self-sufficient across all six rubric components with no weaknesses.",,5,5,5,5,5,5
github,merge_pull_request,Good,100,"The description is comprehensive, precise, and self-sufficient, covering all key aspects with clear language and no reliance on examples.",,5,5,5,5,5,5
github,push_files,Good,88,"The description is comprehensive, well-structured, and covers all key aspects with clear explanations, though the balance between examples and prose could be improved.",examples_balance,5,4,5,5,3,5
github,remove_sub_issue,Good,92,"The description is comprehensive, well-structured, and clearly communicates the tool's function, usage, limitations, and context dependencies, with only minor room for improvement in parameter explanation.","parameter_explanation: The tool is described as having no parameters, but the explanation of how the context provides inputs could be more precise—e.g., specifying expected format or source of parent/sub-issue identifiers (e.g., issue numbers, URLs, or IDs).",5,5,5,3,5,5
github,reprioritize_sub_issue,Good,75,"The description is comprehensive, well-structured, and clearly explains the tool's function, usage, and boundaries, though it lacks critical parameter details and has incomplete limitations.","limitation: Missing explicit handling of edge cases (e.g., invalid positions, concurrent edits, permission errors); parameter_explanation: No specification of parameter types, indexing (0-based vs 1-based), or handling of duplicates/ties",5,5,3,2,5,4
github,request_copilot_review,Good,100,"The description is comprehensive, precise, and fully satisfies all six rubric criteria with no deficiencies.",,5,5,5,5,5,5
github,rerun_failed_jobs,Good,100,"The description is comprehensive, self-sufficient, and precisely communicates the tool's function, usage context, limitations, parameters, and behavioral boundaries with no reliance on examples.",,5,5,5,5,5,5
github,rerun_workflow_run,Good,100,"The description is comprehensive, precise, and self-sufficient, covering all key aspects with clear, well-structured prose and no reliance on examples.",,5,5,5,5,5,5
github,run_workflow,Good,100,"The description is comprehensive, precise, and self-sufficient, with clear purpose, usage guidance, limitations, parameter details, and appropriate length.",,5,5,5,5,5,5
github,search_code,Good,100,"The tool description is comprehensive, precise, and self-sufficient, with clear purpose, usage guidance, limitations, parameter details, balanced examples, and sufficient length.",,5,5,5,5,5,5
github,search_issues,Good,100,"The tool description is comprehensive, precise, and self-sufficient, with clear purpose, usage guidance, limitations, parameter details, balanced examples, and sufficient length.",,5,5,5,5,5,5
github,search_orgs,Good,75,"The description is comprehensive, well-structured, and covers all key aspects with clear explanations, though the parameter section is underdeveloped.","parameter_explanation: 2/5 - Parameters are listed as 'none' without meaningful explanation of their role, type, or behavior; lacks clarity on why no parameters are required and how this affects usability",4,4,5,2,5,4
github,search_pull_requests,Good,100,"The tool description is comprehensive, precise, and self-sufficient, with clear purpose, usage guidance, limitations, parameter clarity, balanced structure, and sufficient length.",,5,5,5,5,5,5
github,search_repositories,Good,83,"The description is comprehensive, well-structured, and covers all key aspects with clear explanations, though parameter explanation is inconsistent and examples slightly overshadow prose.",parameter_explanation (score: 2); examples_balance (score: 3),5,5,5,2,3,4
github,search_users,Good,96,"The description is comprehensive, well-structured, and meets all key criteria across the rubric, with only minor room for improvement in parameter explanation.",,5,5,5,4,5,5
github,submit_pending_pull_request_review,Good,100,"The description is comprehensive, precise, and self-sufficient, covering all aspects of the tool with clear language, explicit usage boundaries, full limitation disclosure, complete parameter explanation (even when none exist), balanced structure, and sufficient length.",,5,5,5,5,5,5
github,update_gist,Good,75,"The description is comprehensive, well-structured, and covers all key aspects with clear intent, though minor improvements in parameter detail and limitation specificity would enhance it further.",parameter_explanation: lacks clear data structure and behavioral impact for 'updated_file_contents'; limitation: could more explicitly state the absence of success/failure feedback and lack of schema specification,5,4,4,3,5,4
github,update_issue,Good,96,"The description is comprehensive, clearly defines the tool's function, usage boundaries, limitations, and parameters with strong detail and structure.","parameter_explanation: The 'fields to be updated' parameter lacks clarity on expected format (e.g., JSON object structure) and whether nested fields are supported; also, the 'authentication/credentials' parameter should specify expected format (e.g., personal access token, OAuth) and required scopes.",5,5,5,4,5,5
github,update_pull_request,Good,88,"The description is comprehensive, clearly defines the tool's function, usage boundaries, limitations, and structure, with only minor gaps in parameter detail.","parameter_explanation: Missing specific parameter names, types, and behavioral effects for each input; currently only lists placeholder names without full explanation",5,5,5,3,5,5
github,update_pull_request_branch,Good,100,"The description is comprehensive, precise, and self-sufficient, covering all key aspects with clear language and no reliance on examples.",,5,5,5,5,5,5
google-maps,maps_directions,Good,88,"The description is comprehensive, well-structured, and meets all key criteria for clarity and completeness across most components.","parameter_explanation: The 'route preferences' parameter is described but not properly defined in terms of name, type, or allowed values; also lacks default behavior when omitted.",5,5,5,3,4,5
google-maps,maps_distance_matrix,Good,95,"The description is comprehensive, well-structured, and fully addresses all key aspects with precise language, clear examples, and thorough coverage of purpose, usage, limitations, parameters, and length.","parameter_explanation: The default behavior for the 'mode' parameter is not specified, which slightly reduces clarity",5,5,5,4,5,5
google-maps,maps_elevation,Good,100,"The tool description is comprehensive, precise, and self-sufficient, with clear purpose, usage guidance, limitations, parameter details, balanced examples, and sufficient length.",,5,5,5,5,5,5
google-maps,maps_geocode,Good,96,"The description is comprehensive, well-structured, and meets all key criteria with clear purpose, usage guidance, limitations, parameter details, balanced examples, and sufficient length.",,5,5,4,5,5,5
google-maps,maps_place_details,Good,88,"The description is comprehensive, well-structured, and clearly explains the tool's function, usage, limitations, and parameters, with balanced examples that support the prose.","limitation: Clarify the contradiction in documentation about coordinates (explicitly state whether lat/lng is returned or not); parameter_explanation: Add more detail on the expected format and validation rules for place_id (e.g., length, prefix, encoding)",5,5,4,4,4,5
google-maps,maps_reverse_geocode,Good,100,"The tool description is comprehensive, precise, and self-sufficient, with clear purpose, usage guidance, limitations, parameter details, balanced examples, and sufficient length.",,5,5,5,5,5,5
google-maps,maps_search_places,Good,95,"The description is comprehensive, well-structured, and meets all key criteria across the rubric, with only minor room for improvement in parameter explanation and example balance.","parameter_explanation: Clarify the required/default status of each parameter more explicitly (e.g., 'required' vs 'optional'); examples_balance: Reduce reliance on example inputs/outputs by integrating more descriptive prose to explain behavior",5,5,5,4,4,5
google-search,search,Good,92,"The description is comprehensive, well-structured, and meets all key criteria with clear purpose, usage guidance, limitations, parameter details, and appropriate length.","limitation: Missing explicit mention of the exact number of results returned and the lack of control over ranking or filtering (e.g., date range, region), which are important constraints for users.",5,5,4,5,5,5
google-search-new,extract_multiple_webpages,Good,100,"The tool description is comprehensive, precise, and self-sufficient, with clear purpose, usage guidance, limitations, parameter details, balanced examples, and sufficient length.",,5,5,5,5,5,5
google-search-new,extract_webpage_content,Good,93,"The description is comprehensive, well-structured, and meets all rubric criteria with strong clarity across all components.",parameter_explanation: Missing explicit mention of default values for 'format' parameter despite stating 'no defaults specified' — should clarify if one is assumed or required,5,5,5,4,4,5
google-search-new,google_search,Good,96,"The description is comprehensive, well-structured, and meets all quality criteria across all six components with no scores below 3.",,5,5,5,4,5,5
google-sheets,add_columns,Good,100,"The description is comprehensive, precise, and self-sufficient, covering purpose, usage, limitations, parameters, and structure with no reliance on examples. All components are fully addressed at the highest level.",,5,5,5,5,5,5
google-sheets,add_rows,Good,92,"The description is comprehensive, well-structured, and meets all key criteria with clear purpose, usage guidance, limitations, parameter details, and appropriate length.","limitation: Missing explicit mention of bounds checking (e.g., what happens if start_row is out of range?) and edge-case handling for invalid indices",5,5,4,5,5,5
google-sheets,batch_update_cells,Good,100,"The description is comprehensive, precise, and self-sufficient, covering all aspects of the tool with clarity, depth, and appropriate structure.",,5,5,5,5,5,5
google-sheets,copy_sheet,Good,96,"The description is comprehensive, well-structured, and covers all key aspects with precision and clarity across all components.","parameter_explanation: Minor improvement needed in explicitly stating the data type (e.g., string) and default status for each parameter, though most are implied",5,5,5,4,5,5
google-sheets,create_sheet,Good,92,"The description is comprehensive, well-structured, and meets all key criteria across the rubric, with only minor gaps in limitation details.",limitation: Clarify behavior for title name conflicts and sheet positioning (currently noted as unspecified),5,5,4,5,5,5
google-sheets,create_spreadsheet,Good,100,"The description is comprehensive, precise, and fully satisfies all rubric criteria with no weaknesses.",,5,5,5,5,5,5
google-sheets,get_sheet_data,Good,100,"The tool description is comprehensive, precise, and self-sufficient, with clear purpose, usage guidance, limitations, parameter details, balanced examples, and sufficient length.",,5,5,5,5,5,5
google-sheets,get_spreadsheet_info,Good,100,"The description is comprehensive, precise, and self-sufficient, covering all key aspects with clear language, proper structure, and no reliance on examples.",,5,5,5,5,5,5
